,single_amount,sub,cg,rate_adjust,rate_adjust_r1,rate_adjust_r2,rate_adjust_pct,rate_adjust_r1_pct,rate_adjust_r2_pct
0,0.0,0.25,-3.45,-0.011264,-0.01126,-0.0113,-1.1264,-1.126,-1.13
1,100.0,0.25,-3.45,-0.011125,-0.01113,-0.0111,-1.1125,-1.113,-1.11
2,200.0,0.25,-3.45,-0.010985,-0.01098,-0.011,-1.0985,-1.098,-1.0999999999999999
3,300.0,0.25,-3.45,-0.010843,-0.01084,-0.0108,-1.0843,-1.084,-1.08
4,400.0,0.25,-3.45,-0.010703,-0.0107,-0.0107,-1.0703,-1.0699999999999998,-1.0699999999999998
5,500.0,0.25,-3.45,-0.010557,-0.01056,-0.0106,-1.0557,-1.056,-1.06
6,600.0,0.25,-3.45,-0.010412,-0.01041,-0.0104,-1.0412,-1.0410000000000001,-1.04
7,700.0,0.25,-3.45,-0.010264,-0.01026,-0.0103,-1.0264,-1.026,-1.03
8,800.0,0.25,-3.45,-0.010116,-0.01012,-0.0101,-1.0116,-1.012,-1.01
9,900.0,0.25,-3.45,-0.009966,-0.00997,-0.01,-0.9965999999999999,-0.997,-1.0
10,1000.0,0.25,-3.45,-0.009816,-0.00982,-0.0098,-0.9816,-0.9820000000000001,-0.98
11,1100.0,0.25,-3.45,-0.009663,-0.00966,-0.0097,-0.9662999999999999,-0.966,-0.97
12,1200.0,0.25,-3.45,-0.009508,-0.00951,-0.0095,-0.9508000000000001,-0.951,-0.95
13,1300.0,0.25,-3.45,-0.009354,-0.00935,-0.0094,-0.9353999999999999,-0.935,-0.9400000000000001
14,1400.0,0.25,-3.45,-0.009196,-0.0092,-0.0092,-0.9196,-0.9199999999999999,-0.9199999999999999
15,1500.0,0.25,-3.45,-0.009036,-0.00904,-0.009,-0.9036000000000001,-0.9039999999999999,-0.8999999999999999
16,1600.0,0.25,-3.45,-0.008873,-0.00887,-0.0089,-0.8873000000000001,-0.8869999999999999,-0.89
17,1700.0,0.25,-3.45,-0.008709,-0.00871,-0.0087,-0.8709,-0.8710000000000001,-0.8699999999999999
18,1800.0,0.25,-3.45,-0.008548,-0.00855,-0.0085,-0.8548,-0.855,-0.8500000000000001
19,1900.0,0.25,-3.45,-0.008385,-0.00838,-0.0084,-0.8385,-0.8380000000000001,-0.84
20,2000.0,0.25,-3.45,-0.00822,-0.00822,-0.0082,-0.822,-0.822,-0.8200000000000001
21,2100.0,0.25,-3.45,-0.008051,-0.00805,-0.0081,-0.8051,-0.8049999999999999,-0.8099999999999999
22,2200.0,0.25,-3.45,-0.00788,-0.00788,-0.0079,-0.788,-0.788,-0.79
23,2300.0,0.25,-3.45,-0.007708,-0.00771,-0.0077,-0.7707999999999999,-0.771,-0.77
24,2400.0,0.25,-3.45,-0.007536,-0.00754,-0.0075,-0.7536,-0.754,-0.75
25,2500.0,0.25,-3.45,-0.00736,-0.00736,-0.0074,-0.736,-0.736,-0.74
26,2600.0,0.25,-3.45,-0.007184,-0.00718,-0.0072,-0.7184,-0.718,-0.72
27,2700.0,0.25,-3.45,-0.007012,-0.00701,-0.007,-0.7012,-0.701,-0.7000000000000001
28,2800.0,0.25,-3.45,-0.006834,-0.00683,-0.0068,-0.6834,-0.683,-0.6799999999999999
29,2900.0,0.25,-3.45,-0.006656,-0.00666,-0.0067,-0.6656,-0.666,-0.67
30,3000.0,0.25,-3.45,-0.006475,-0.00647,-0.0065,-0.6475,-0.647,-0.65
31,3100.0,0.25,-3.45,-0.006295,-0.0063,-0.0063,-0.6295000000000001,-0.63,-0.63
32,3200.0,0.25,-3.45,-0.006112,-0.00611,-0.0061,-0.6112000000000001,-0.611,-0.61
33,3300.0,0.25,-3.45,-0.005928,-0.00593,-0.0059,-0.5928,-0.5930000000000001,-0.59
34,3400.0,0.25,-3.45,-0.005736,-0.00574,-0.0057,-0.5736,-0.5740000000000001,-0.5700000000000001
35,3500.0,0.25,-3.45,-0.00555,-0.00555,-0.0055,-0.555,-0.555,-0.5499999999999999
36,3600.0,0.25,-3.45,-0.005362,-0.00536,-0.0054,-0.5362,-0.536,-0.54
37,3700.0,0.25,-3.45,-0.005173,-0.00517,-0.0052,-0.5173,-0.517,-0.52
38,3800.0,0.25,-3.45,-0.004982,-0.00498,-0.005,-0.49820000000000003,-0.498,-0.5
39,3900.0,0.25,-3.45,-0.00479,-0.00479,-0.0048,-0.479,-0.479,-0.48
40,4000.0,0.25,-3.45,-0.004595,-0.0046,-0.0046,-0.4595,-0.45999999999999996,-0.45999999999999996
41,4100.0,0.25,-3.45,-0.004404,-0.0044,-0.0044,-0.4404,-0.44,-0.44
42,4200.0,0.25,-3.45,-0.00421,-0.00421,-0.0042,-0.42100000000000004,-0.42100000000000004,-0.42
43,4300.0,0.25,-3.45,-0.00401,-0.00401,-0.004,-0.40099999999999997,-0.40099999999999997,-0.4
44,4400.0,0.25,-3.45,-0.003813,-0.00381,-0.0038,-0.3813,-0.381,-0.38
45,4500.0,0.25,-3.45,-0.003615,-0.00361,-0.0036,-0.36150000000000004,-0.361,-0.36
46,4600.0,0.25,-3.45,-0.003414,-0.00341,-0.0034,-0.3414,-0.34099999999999997,-0.33999999999999997
47,4700.0,0.25,-3.45,-0.00321,-0.00321,-0.0032,-0.321,-0.321,-0.32
48,4800.0,0.25,-3.45,-0.003008,-0.00301,-0.003,-0.30079999999999996,-0.301,-0.3
49,4900.0,0.25,-3.45,-0.002806,-0.00281,-0.0028,-0.2806,-0.281,-0.27999999999999997
50,5000.0,0.25,-3.45,-0.0026,-0.0026,-0.0026,-0.26,-0.26,-0.26
51,5100.0,0.25,-3.45,-0.002397,-0.0024,-0.0024,-0.23969999999999997,-0.24,-0.24
52,5200.0,0.25,-3.45,-0.002195,-0.0022,-0.0022,-0.2195,-0.22,-0.22
53,5300.0,0.25,-3.45,-0.001992,-0.00199,-0.002,-0.1992,-0.199,-0.2
54,5400.0,0.25,-3.45,-0.001794,-0.00179,-0.0018,-0.1794,-0.179,-0.18
55,5500.0,0.25,-3.45,-0.001589,-0.00159,-0.0016,-0.15889999999999999,-0.159,-0.16
56,5600.0,0.25,-3.45,-0.001384,-0.00138,-0.0014,-0.1384,-0.13799999999999998,-0.13999999999999999
57,5700.0,0.25,-3.45,-0.001178,-0.00118,-0.0012,-0.1178,-0.11800000000000001,-0.12
58,5800.0,0.25,-3.45,-0.000969,-0.00097,-0.001,-0.0969,-0.097,-0.1
59,5900.0,0.25,-3.45,-0.000764,-0.00076,-0.0008,-0.07640000000000001,-0.076,-0.08
60,6000.0,0.25,-3.45,-0.00056,-0.00056,-0.0006,-0.055999999999999994,-0.055999999999999994,-0.06
61,6100.0,0.25,-3.45,-0.000352,-0.00035,-0.0004,-0.0352,-0.034999999999999996,-0.04
62,6200.0,0.25,-3.45,-0.000145,-0.00015,-0.0001,-0.0145,-0.015,-0.01
63,6300.0,0.25,-3.45,6.2e-05,6e-05,0.0001,0.006200000000000001,0.006,0.01
64,6400.0,0.25,-3.45,0.00027,0.00027,0.0003,0.027,0.027,0.03
65,6500.0,0.25,-3.45,0.000476,0.00048,0.0005,0.0476,0.048,0.05
66,6600.0,0.25,-3.45,0.000684,0.00068,0.0007,0.0684,0.068,0.06999999999999999
67,6700.0,0.25,-3.45,0.000893,0.00089,0.0009,0.0893,0.089,0.09
68,6800.0,0.25,-3.45,0.001102,0.0011,0.0011,0.11019999999999999,0.11,0.11
69,6900.0,0.25,-3.45,0.001313,0.00131,0.0013,0.1313,0.131,0.13
70,7000.0,0.25,-3.45,0.001522,0.00152,0.0015,0.1522,0.152,0.15
71,7100.0,0.25,-3.45,0.001733,0.00173,0.0017,0.17329999999999998,0.173,0.16999999999999998
72,7200.0,0.25,-3.45,0.001945,0.00195,0.0019,0.19449999999999998,0.19499999999999998,0.19
73,7300.0,0.25,-3.45,0.002157,0.00216,0.0022,0.2157,0.216,0.22
74,7400.0,0.25,-3.45,0.002369,0.00237,0.0024,0.2369,0.23700000000000002,0.24
75,7500.0,0.25,-3.45,0.002579,0.00258,0.0026,0.2579,0.258,0.26
76,7600.0,0.25,-3.45,0.002784,0.00278,0.0028,0.2784,0.27799999999999997,0.27999999999999997
77,7700.0,0.25,-3.45,0.002996,0.003,0.003,0.2996,0.3,0.3
78,7800.0,0.25,-3.45,0.003206,0.00321,0.0032,0.3206,0.321,0.32
79,7900.0,0.25,-3.45,0.003416,0.00342,0.0034,0.3416,0.34199999999999997,0.33999999999999997
80,8000.0,0.25,-3.45,0.003624,0.00362,0.0036,0.3624,0.362,0.36
81,8100.0,0.25,-3.45,0.003834,0.00383,0.0038,0.3834,0.383,0.38
82,8200.0,0.25,-3.45,0.004042,0.00404,0.004,0.40419999999999995,0.404,0.4
83,8300.0,0.25,-3.45,0.004251,0.00425,0.0043,0.4251,0.42500000000000004,0.43
84,8400.0,0.25,-3.45,0.004459,0.00446,0.0045,0.4459,0.44600000000000006,0.44999999999999996
85,8500.0,0.25,-3.45,0.004665,0.00467,0.0047,0.46649999999999997,0.46699999999999997,0.47000000000000003
86,8600.0,0.25,-3.45,0.004873,0.00487,0.0049,0.48729999999999996,0.48700000000000004,0.49
87,8700.0,0.25,-3.45,0.005081,0.00508,0.0051,0.5081,0.508,0.51
88,8800.0,0.25,-3.45,0.005285,0.00528,0.0053,0.5285,0.528,0.53
89,8900.0,0.25,-3.45,0.005489,0.00549,0.0055,0.5488999999999999,0.549,0.5499999999999999
90,9000.0,0.25,-3.45,0.005696,0.0057,0.0057,0.5696,0.5700000000000001,0.5700000000000001
91,9100.0,0.25,-3.45,0.005897,0.0059,0.0059,0.5897,0.59,0.59
92,9200.0,0.25,-3.45,0.006101,0.0061,0.0061,0.6101,0.61,0.61
93,9300.0,0.25,-3.45,0.006303,0.0063,0.0063,0.6303,0.63,0.63
94,9400.0,0.25,-3.45,0.006503,0.0065,0.0065,0.6503,0.65,0.65
95,9500.0,0.25,-3.45,0.006702,0.0067,0.0067,0.6701999999999999,0.67,0.67
96,9600.0,0.25,-3.45,0.006899,0.0069,0.0069,0.6899,0.69,0.69
97,9700.0,0.25,-3.45,0.007099,0.0071,0.0071,0.7099,0.7100000000000001,0.7100000000000001
98,9800.0,0.25,-3.45,0.007295,0.00729,0.0073,0.7295,0.729,0.73
99,9900.0,0.25,-3.45,0.007489,0.00749,0.0075,0.7489,0.749,0.75
100,10000.0,0.25,-3.45,0.007678,0.00768,0.0077,0.7678,0.768,0.77
